,score_of_10,score_<2.0,score_2.0-3.0,score_3.1-4.0,score_4.1-5.0,score_5.1-6.0,score_6.1-7.0,score_7.1-8.0,score_8.1-9.0,score_9.1-10.0
431,6.3,0,0,0,0,0,1,0,0,0
432,6.7,0,0,0,0,0,1,0,0,0
433,8.2,0,0,0,0,0,0,0,1,0
434,6.9,0,0,0,0,0,1,0,0,0
435,6.4,0,0,0,0,0,1,0,0,0
436,6.4,0,0,0,0,0,1,0,0,0
437,5.8,0,0,0,0,1,0,0,0,0
438,6.5,0,0,0,0,0,1,0,0,0
439,8.2,0,0,0,0,0,0,0,1,0
440,6.4,0,0,0,0,0,1,0,0,0
441,6.3,0,0,0,0,0,1,0,0,0
442,5.6,0,0,0,0,1,0,0,0,0
443,6.6,0,0,0,0,0,1,0,0,0
444,6.7,0,0,0,0,0,1,0,0,0
445,7.4,0,0,0,0,0,0,1,0,0
446,6.0,0,0,0,0,1,0,0,0,0
447,5.8,0,0,0,0,1,0,0,0,0
448,6.7,0,0,0,0,0,1,0,0,0
449,6.1,0,0,0,0,0,1,0,0,0
450,6.4,0,0,0,0,0,1,0,0,0
451,6.6,0,0,0,0,0,1,0,0,0
452,6.0,0,0,0,0,1,0,0,0,0
453,8.1,0,0,0,0,0,0,0,1,0
454,6.6,0,0,0,0,0,1,0,0,0
455,7.1,0,0,0,0,0,0,1,0,0
456,6.7,0,0,0,0,0,1,0,0,0
457,5.5,0,0,0,0,1,0,0,0,0
458,6.5,0,0,0,0,0,1,0,0,0
459,6.5,0,0,0,0,0,1,0,0,0
460,6.3,0,0,0,0,0,1,0,0,0
461,6.1,0,0,0,0,0,1,0,0,0
462,7.0,0,0,0,0,0,1,0,0,0
463,6.5,0,0,0,0,0,1,0,0,0
464,6.3,0,0,0,0,0,1,0,0,0
465,5.3,0,0,0,0,1,0,0,0,0
466,6.2,0,0,0,0,0,1,0,0,0
467,8.4,0,0,0,0,0,0,0,1,0
468,7.6,0,0,0,0,0,0,1,0,0
469,5.7,0,0,0,0,1,0,0,0,0
470,6.5,0,0,0,0,0,1,0,0,0
471,5.3,0,0,0,0,1,0,0,0,0
472,6.3,0,0,0,0,0,1,0,0,0
473,5.8,0,0,0,0,1,0,0,0,0
474,6.4,0,0,0,0,0,1,0,0,0
475,7.2,0,0,0,0,0,0,1,0,0
476,7.2,0,0,0,0,0,0,1,0,0
477,8.2,0,0,0,0,0,0,0,1,0
478,6.4,0,0,0,0,0,1,0,0,0
479,7.4,0,0,0,0,0,0,1,0,0
480,7.0,0,0,0,0,0,1,0,0,0
481,6.0,0,0,0,0,1,0,0,0,0
482,6.8,0,0,0,0,0,1,0,0,0
483,7.1,0,0,0,0,0,0,1,0,0
484,7.5,0,0,0,0,0,0,1,0,0
485,6.7,0,0,0,0,0,1,0,0,0
