,Language,1st_Language,2nd_Language,3rd_Language,4th_Language,5th_Language,6th_Language,7th_Language
4355,Mandarin,Mandarin,,,,,,
4356,English,English,,,,,,
4357,English,English,,,,,,
4358,"Norwegian,Swedish",Norwegian,Swedish,,,,,
4359,English,English,,,,,,
4360,Spanish,Spanish,,,,,,
4361,"English,Polish,Latin",English,Polish,Latin,,,,
4362,English,English,,,,,,
4363,English,English,,,,,,
4364,English,English,,,,,,
4365,English,English,,,,,,
4366,English,English,,,,,,
4367,"Arabic,Kurdish",Arabic,Kurdish,,,,,
4368,"Japanese,English",Japanese,English,,,,,
4369,English,English,,,,,,
4370,English,English,,,,,,
4371,English,English,,,,,,
4372,"English,German,Arabic,Urdu",English,German,Arabic,Urdu,,,
4373,Russian,Russian,,,,,,
4374,English,English,,,,,,
4375,English,English,,,,,,
4376,English,English,,,,,,
4377,Japanese,Japanese,,,,,,
4378,English,English,,,,,,
4379,English,English,,,,,,
4380,English,English,,,,,,
4381,English,English,,,,,,
4382,English,English,,,,,,
4383,"English,German,Czech,French",English,German,Czech,French,,,
4384,English,English,,,,,,
4385,English,English,,,,,,
4386,English,English,,,,,,
4387,English,English,,,,,,
4388,English,English,,,,,,
4389,"English,French",English,French,,,,,
4390,English,English,,,,,,
4391,English,English,,,,,,
4392,English,English,,,,,,
4393,English,English,,,,,,
4394,English,English,,,,,,
4395,English,English,,,,,,
4396,English,English,,,,,,
4397,English,English,,,,,,
4398,Japanese,Japanese,,,,,,
4399,Japanese,Japanese,,,,,,
4400,English,English,,,,,,
4401,English,English,,,,,,
4402,English,English,,,,,,
4403,Spanish,Spanish,,,,,,
4404,English,English,,,,,,
4405,English,English,,,,,,
4406,Italian,Italian,,,,,,
4407,English,English,,,,,,
4408,English,English,,,,,,
4409,English,English,,,,,,
4410,English,English,,,,,,
4411,English,English,,,,,,
4412,"English,Russian,German,Polish",English,Russian,German,Polish,,,
4413,English,English,,,,,,
4414,English,English,,,,,,
4415,English,English,,,,,,
4416,English,English,,,,,,
4417,English,English,,,,,,
4418,English,English,,,,,,
4419,English,English,,,,,,
4420,,,,,,,,
4421,"English,Spanish",English,Spanish,,,,,
4422,"Irish,English",Irish,English,,,,,
4423,"English,French",English,French,,,,,
4424,English,English,,,,,,
4425,"English,French",English,French,,,,,
4426,English,English,,,,,,
4427,English,English,,,,,,
4428,English,English,,,,,,
4429,English,English,,,,,,
4430,English,English,,,,,,
4431,English,English,,,,,,
4432,English,English,,,,,,
4433,English,English,,,,,,
4434,English,English,,,,,,
4435,English,English,,,,,,
4436,"English,Italian,German",English,Italian,German,,,,
4437,English,English,,,,,,
4438,English,English,,,,,,
4439,English,English,,,,,,
4440,"English,Spanish",English,Spanish,,,,,
4441,English,English,,,,,,
4442,English,English,,,,,,
4443,"French,Hebrew",French,Hebrew,,,,,
4444,English,English,,,,,,
4445,English,English,,,,,,
4446,Mandarin,Mandarin,,,,,,
4447,"Korean,English",Korean,English,,,,,
4448,English,English,,,,,,
4449,"Japanese,English",Japanese,English,,,,,
4450,English,English,,,,,,
4451,English,English,,,,,,
4452,English,English,,,,,,
4453,English,English,,,,,,
4454,English,English,,,,,,
4455,English,English,,,,,,
4456,English,English,,,,,,
4457,"English,French,German",English,French,German,,,,
4458,English,English,,,,,,
4459,English,English,,,,,,
4460,English,English,,,,,,
4461,English,English,,,,,,
4462,English,English,,,,,,
4463,English,English,,,,,,
4464,English,English,,,,,,
4465,English,English,,,,,,
4466,English,English,,,,,,
4467,English,English,,,,,,
4468,"English,Japanese",English,Japanese,,,,,
4469,English,English,,,,,,
4470,English,English,,,,,,
4471,English,English,,,,,,
4472,English,English,,,,,,
4473,English,English,,,,,,
4474,English,English,,,,,,
4475,English,English,,,,,,
4476,"English,French",English,French,,,,,
4477,English,English,,,,,,
4478,"Japanese,English",Japanese,English,,,,,
4479,English,English,,,,,,
4480,English,English,,,,,,
4481,English,English,,,,,,
4482,English,English,,,,,,
4483,,,,,,,,
4484,English,English,,,,,,
4485,English,English,,,,,,
4486,,,,,,,,
4487,English,English,,,,,,
4488,English,English,,,,,,
4489,English,English,,,,,,
4490,English,English,,,,,,
4491,"Russian,Italian",Russian,Italian,,,,,
4492,English,English,,,,,,
4493,English,English,,,,,,
4494,"English,Polish",English,Polish,,,,,
4495,English,English,,,,,,
4496,Japanese,Japanese,,,,,,
4497,English,English,,,,,,
4498,English,English,,,,,,
4499,"English,French",English,French,,,,,
4500,English,English,,,,,,
4501,English,English,,,,,,
4502,English,English,,,,,,
4503,English,English,,,,,,
4504,English,English,,,,,,
4505,English,English,,,,,,
4506,English,English,,,,,,
4507,English,English,,,,,,
4508,Thai,Thai,,,,,,
4509,English,English,,,,,,
4510,English,English,,,,,,
4511,English,English,,,,,,
4512,English,English,,,,,,
4513,English,English,,,,,,
4514,English,English,,,,,,
4515,English,English,,,,,,
4516,English,English,,,,,,
4517,English,English,,,,,,
4518,English,English,,,,,,
4519,"English,Norwegian",English,Norwegian,,,,,
4520,English,English,,,,,,
4521,English,English,,,,,,
4522,English,English,,,,,,
4523,English,English,,,,,,
4524,English,English,,,,,,
4525,English,English,,,,,,
4526,English,English,,,,,,
4527,English,English,,,,,,
4528,English,English,,,,,,
4529,English,English,,,,,,
4530,,,,,,,,
4531,"Mandarin,Cantonese,French",Mandarin,Cantonese,French,,,,
4532,"English,Arabic",English,Arabic,,,,,
4533,English,English,,,,,,
4534,English,English,,,,,,
4535,,,,,,,,
4536,English,English,,,,,,
4537,Japanese,Japanese,,,,,,
4538,"English,Spanish",English,Spanish,,,,,
4539,English,English,,,,,,
4540,English,English,,,,,,
4541,"French,English",French,English,,,,,
4542,English,English,,,,,,
4543,English,English,,,,,,
4544,English,English,,,,,,
4545,English,English,,,,,,
4546,English,English,,,,,,
4547,English,English,,,,,,
4548,English,English,,,,,,
4549,English,English,,,,,,
4550,English,English,,,,,,
4551,English,English,,,,,,
4552,English,English,,,,,,
4553,English,English,,,,,,
4554,English,English,,,,,,
4555,Mandarin,Mandarin,,,,,,
4556,English,English,,,,,,
4557,English,English,,,,,,
4558,English,English,,,,,,
4559,English,English,,,,,,
4560,English,English,,,,,,
4561,English,English,,,,,,
4562,English,English,,,,,,
4563,"English,Italian",English,Italian,,,,,
4564,English,English,,,,,,
4565,"Czech,German",Czech,German,,,,,
4566,English,English,,,,,,
4567,English,English,,,,,,
4568,"English,Spanish",English,Spanish,,,,,
4569,English,English,,,,,,
4570,English,English,,,,,,
4571,English,English,,,,,,
4572,English,English,,,,,,
4573,English,English,,,,,,
4574,English,English,,,,,,
4575,English,English,,,,,,
4576,English,English,,,,,,
4577,English,English,,,,,,
4578,English,English,,,,,,
4579,English,English,,,,,,
4580,English,English,,,,,,
4581,"English,German",English,German,,,,,
4582,English,English,,,,,,
4583,English,English,,,,,,
4584,English,English,,,,,,
4585,"English,French,Spanish",English,French,Spanish,,,,
4586,English,English,,,,,,
4587,English,English,,,,,,
4588,English,English,,,,,,
4589,English,English,,,,,,
4590,English,English,,,,,,
4591,"English,Tongan",English,Tongan,,,,,
4592,English,English,,,,,,
4593,English,English,,,,,,
4594,English,English,,,,,,
4595,English,English,,,,,,
4596,English,English,,,,,,
4597,English,English,,,,,,
4598,English,English,,,,,,
4599,English,English,,,,,,
4600,English,English,,,,,,
4601,English,English,,,,,,
4602,English,English,,,,,,
4603,English,English,,,,,,
4604,English,English,,,,,,
4605,Mandarin,Mandarin,,,,,,
4606,English,English,,,,,,
4607,English,English,,,,,,
4608,English,English,,,,,,
4609,English,English,,,,,,
4610,English,English,,,,,,
4611,German,German,,,,,,
4612,English,English,,,,,,
4613,English,English,,,,,,
4614,English,English,,,,,,
4615,English,English,,,,,,
4616,English,English,,,,,,
4617,English,English,,,,,,
4618,English,English,,,,,,
4619,English,English,,,,,,
4620,English,English,,,,,,
4621,,,,,,,,
4622,English,English,,,,,,
4623,English,English,,,,,,
4624,English,English,,,,,,
4625,English,English,,,,,,
4626,English,English,,,,,,
4627,English,English,,,,,,
4628,English,English,,,,,,
4629,English,English,,,,,,
4630,English,English,,,,,,
4631,English,English,,,,,,
4632,English,English,,,,,,
4633,English,English,,,,,,
4634,English,English,,,,,,
4635,English,English,,,,,,
4636,English,English,,,,,,
4637,"English,German",English,German,,,,,
4638,"English,Vietnamese",English,Vietnamese,,,,,
4639,English,English,,,,,,
4640,English,English,,,,,,
4641,English,English,,,,,,
4642,English,English,,,,,,
4643,English,English,,,,,,
4644,English,English,,,,,,
4645,English,English,,,,,,
4646,English,English,,,,,,
4647,English,English,,,,,,
4648,English,English,,,,,,
4649,,,,,,,,
4650,English,English,,,,,,
4651,Mandarin,Mandarin,,,,,,
4652,English,English,,,,,,
4653,English,English,,,,,,
4654,English,English,,,,,,
4655,English,English,,,,,,
4656,English,English,,,,,,
4657,English,English,,,,,,
4658,English,English,,,,,,
4659,English,English,,,,,,
4660,English,English,,,,,,
4661,,,,,,,,
4662,English,English,,,,,,
4663,English,English,,,,,,
4664,English,English,,,,,,
4665,English,English,,,,,,
4666,English,English,,,,,,
4667,English,English,,,,,,
4668,Japanese,Japanese,,,,,,
4669,English,English,,,,,,
4670,English,English,,,,,,
4671,English,English,,,,,,
4672,English,English,,,,,,
4673,,,,,,,,
4674,English,English,,,,,,
4675,English,English,,,,,,
4676,English,English,,,,,,
4677,English,English,,,,,,
4678,English,English,,,,,,
4679,English,English,,,,,,
4680,English,English,,,,,,
4681,"English,French,Spanish",English,French,Spanish,,,,
4682,English,English,,,,,,
4683,English,English,,,,,,
4684,English,English,,,,,,
4685,English,English,,,,,,
4686,Spanish,Spanish,,,,,,
4687,English,English,,,,,,
4688,English,English,,,,,,
4689,English,English,,,,,,
4690,,,,,,,,
4691,English,English,,,,,,
4692,English,English,,,,,,
4693,English,English,,,,,,
4694,English,English,,,,,,
4695,English,English,,,,,,
4696,,,,,,,,
4697,English,English,,,,,,
4698,,,,,,,,
4699,English,English,,,,,,
4700,Japanese,Japanese,,,,,,
4701,"Italian,English,French,German",Italian,English,French,German,,,
4702,,,,,,,,
4703,English,English,,,,,,
4704,"Hindi,Marathi",Hindi,Marathi,,,,,
4705,"Hindi,English",Hindi,English,,,,,
4706,Hindi,Hindi,,,,,,
4707,"English,Spanish",English,Spanish,,,,,
4708,English,English,,,,,,
4709,English,English,,,,,,
4710,"English,Bulgarian,Hebrew,Romanian,Croatian",English,Bulgarian,Hebrew,Romanian,Croatian,,
4711,Hindi,Hindi,,,,,,
4712,"English,Russian",English,Russian,,,,,
4713,English,English,,,,,,
4714,English,English,,,,,,
4715,"Telugu,Tamil",Telugu,Tamil,,,,,
4716,"English,Spanish,Hindi",English,Spanish,Hindi,,,,
4717,English,English,,,,,,
4718,English,English,,,,,,
4719,"Portuguese,Greek",Portuguese,Greek,,,,,
4720,English,English,,,,,,
4721,"English,Mandarin",English,Mandarin,,,,,
4722,"English,French",English,French,,,,,
4723,English,English,,,,,,
4724,English,English,,,,,,
4725,"Hindi,English,Haryanvi",Hindi,English,Haryanvi,,,,
4726,"English,French,Spanish,German",English,French,Spanish,German,,,
4727,"English,Spanish,Papiamento,Russian,Latin",English,Spanish,Papiamento,Russian,Latin,,
4728,"English,Italian",English,Italian,,,,,
4729,English,English,,,,,,
4730,English,English,,,,,,
4731,Hindi,Hindi,,,,,,
4732,English,English,,,,,,
4733,Hindi,Hindi,,,,,,
4734,"Korean,Japanese",Korean,Japanese,,,,,
4735,"English,French,German,Italian",English,French,German,Italian,,,
4736,English,English,,,,,,
4737,English,English,,,,,,
4738,English,English,,,,,,
4739,English,English,,,,,,
4740,"English,French,Kinyarwanda",English,French,Kinyarwanda,,,,
4741,"English,Spanish",English,Spanish,,,,,
4742,English,English,,,,,,
4743,"English,Spanish",English,Spanish,,,,,
4744,"English,Swedish",English,Swedish,,,,,
4745,"English,American Sign Language,French",English,American Sign Language,French,,,,
4746,English,English,,,,,,
4747,"English,French",English,French,,,,,
4748,"English,Mandarin",English,Mandarin,,,,,
4749,English,English,,,,,,
4750,"English,Latin",English,Latin,,,,,
4751,English,English,,,,,,
4752,Hindi,Hindi,,,,,,
4753,Hindi,Hindi,,,,,,
4754,"English,Urdu",English,Urdu,,,,,
4755,Hindi,Hindi,,,,,,
4756,English,English,,,,,,
4757,English,English,,,,,,
4758,Japanese,Japanese,,,,,,
4759,English,English,,,,,,
4760,English,English,,,,,,
4761,English,English,,,,,,
4762,English,English,,,,,,
4763,"English,Spanish,Russian,German",English,Spanish,Russian,German,,,
4764,"English,French,Portuguese",English,French,Portuguese,,,,
4765,English,English,,,,,,
4766,"Hindi,Telugu",Hindi,Telugu,,,,,
4767,"English,German,French,Russian,Arabic,Italian",English,German,French,Russian,Arabic,Italian,
4768,English,English,,,,,,
4769,English,English,,,,,,
4770,"English,French,German,Swahili",English,French,German,Swahili,,,
4771,"English,Italian,German",English,Italian,German,,,,
4772,"English,French,Arabic,Turkish",English,French,Arabic,Turkish,,,
4773,English,English,,,,,,
4774,"English,French",English,French,,,,,
4775,English,English,,,,,,
4776,English,English,,,,,,
4777,English,English,,,,,,
4778,"English,French,Russian",English,French,Russian,,,,
4779,"English,German",English,German,,,,,
4780,English,English,,,,,,
4781,Hindi,Hindi,,,,,,
4782,"English,French",English,French,,,,,
4783,English,English,,,,,,
4784,English,English,,,,,,
4785,English,English,,,,,,
4786,English,English,,,,,,
4787,English,English,,,,,,
4788,"Mandarin,English,Japanese,Italian",Mandarin,English,Japanese,Italian,,,
4789,English,English,,,,,,
4790,English,English,,,,,,
4791,"English,French,German,Italian,Spanish",English,French,German,Italian,Spanish,,
4792,"English,German,Turkish,Arabic",English,German,Turkish,Arabic,,,
4793,English,English,,,,,,
4794,"English,Spanish",English,Spanish,,,,,
4795,"English,Swahili",English,Swahili,,,,,
4796,"English,French",English,French,,,,,
4797,English,English,,,,,,
4798,English,English,,,,,,
4799,Hindi,Hindi,,,,,,
4800,English,English,,,,,,
4801,"English,German,Swahili",English,German,Swahili,,,,
4802,"Hindi,English",Hindi,English,,,,,
4803,"French,English",French,English,,,,,
4804,English,English,,,,,,
4805,English,English,,,,,,
4806,French,French,,,,,,
4807,English,English,,,,,,
4808,"English,French",English,French,,,,,
4809,Spanish,Spanish,,,,,,
4810,English,English,,,,,,
4811,English,English,,,,,,
4812,"English,French",English,French,,,,,
4813,Spanish,Spanish,,,,,,
4814,"English,Spanish",English,Spanish,,,,,
4815,"English,French",English,French,,,,,
4816,"Spanish,English",Spanish,English,,,,,
4817,"English,French,Italian",English,French,Italian,,,,
4818,"English,Portuguese,Tupi,Spanish,German",English,Portuguese,Tupi,Spanish,German,,
4819,"Hindi,Gujarati,English",Hindi,Gujarati,English,,,,
4820,English,English,,,,,,
4821,"English,Spanish,German",English,Spanish,German,,,,
4822,English,English,,,,,,
4823,"English,Welsh",English,Welsh,,,,,
4824,"English,Spanish",English,Spanish,,,,,
4825,English,English,,,,,,
4826,English,English,,,,,,
4827,English,English,,,,,,
4828,Spanish,Spanish,,,,,,
4829,"English,Italian",English,Italian,,,,,
4830,English,English,,,,,,
4831,"English,French",English,French,,,,,
4832,English,English,,,,,,
4833,"English,French",English,French,,,,,
4834,English,English,,,,,,
4835,"Norwegian,English",Norwegian,English,,,,,
4836,English,English,,,,,,
4837,English,English,,,,,,
4838,English,English,,,,,,
4839,"English,German,French",English,German,French,,,,
4840,"English,German,Yiddish",English,German,Yiddish,,,,
4841,English,English,,,,,,
4842,English,English,,,,,,
4843,English,English,,,,,,
4844,"English,Spanish",English,Spanish,,,,,
4845,"Hindi,English",Hindi,English,,,,,
4846,English,English,,,,,,
4847,English,English,,,,,,
4848,English,English,,,,,,
4849,"English,Spanish,Latin",English,Spanish,Latin,,,,
4850,"None,Russian",None,Russian,,,,,
4851,"Persian,English",Persian,English,,,,,
4852,"English,Spanish",English,Spanish,,,,,
4853,Hindi,Hindi,,,,,,
4854,English,English,,,,,,
4855,"Polish,French,Croatian,German,Russian,Serbian,Italian",Polish,French,Croatian,German,Russian,Serbian,Italian
4856,Kannada,Kannada,,,,,,
4857,"Spanish,Chinese,Wolof",Spanish,Chinese,Wolof,,,,
4858,English,English,,,,,,
4859,Hindi,Hindi,,,,,,
4860,French,French,,,,,,
4861,"English,French,Swahili",English,French,Swahili,,,,
4862,"English,Spanish,German",English,Spanish,German,,,,
4863,English,English,,,,,,
4864,English,English,,,,,,
4865,English,English,,,,,,
4866,English,English,,,,,,
4867,"English,Russian,Italian",English,Russian,Italian,,,,
4868,"Hindi,English",Hindi,English,,,,,
4869,English,English,,,,,,
4870,"French,Spanish",French,Spanish,,,,,
4871,English,English,,,,,,
4872,English,English,,,,,,
4873,"English,Spanish",English,Spanish,,,,,
4874,"English,Latin,French",English,Latin,French,,,,
4875,English,English,,,,,,
4876,English,English,,,,,,
4877,Hindi,Hindi,,,,,,
4878,English,English,,,,,,
4879,"Korean,German,English,Japanese",Korean,German,English,Japanese,,,
4880,English,English,,,,,,
4881,English,English,,,,,,
4882,English,English,,,,,,
4883,English,English,,,,,,
4884,"English,Irish",English,Irish,,,,,
4885,"English,Spanish",English,Spanish,,,,,
4886,English,English,,,,,,
4887,"English,French,Latin",English,French,Latin,,,,
4888,"Hindi,English",Hindi,English,,,,,
4889,"English,Spanish",English,Spanish,,,,,
4890,English,English,,,,,,
4891,English,English,,,,,,
4892,English,English,,,,,,
4893,"English,German",English,German,,,,,
4894,"English,Spanish",English,Spanish,,,,,
4895,"English,Persian",English,Persian,,,,,
4896,Telugu,Telugu,,,,,,
4897,English,English,,,,,,
4898,"English,French",English,French,,,,,
4899,English,English,,,,,,
4900,,,,,,,,
4901,"English,Arabic",English,Arabic,,,,,
4902,"English,Polish,Spanish",English,Polish,Spanish,,,,
4903,"English,French,German",English,French,German,,,,
4904,English,English,,,,,,
4905,English,English,,,,,,
4906,English,English,,,,,,
4907,English,English,,,,,,
4908,English,English,,,,,,
4909,"English,Old English",English,Old English,,,,,
4910,English,English,,,,,,
4911,English,English,,,,,,
4912,English,English,,,,,,
4913,English,English,,,,,,
4914,"English,Spanish",English,Spanish,,,,,
4915,English,English,,,,,,
4916,"English,German",English,German,,,,,
4917,English,English,,,,,,
4918,English,English,,,,,,
4919,"English,Hindi",English,Hindi,,,,,
4920,English,English,,,,,,
4921,English,English,,,,,,
4922,English,English,,,,,,
4923,English,English,,,,,,
4924,"English,Polish,Cantonese,Italian",English,Polish,Cantonese,Italian,,,
4925,English,English,,,,,,
4926,"English,Cantonese",English,Cantonese,,,,,
4927,"Mandarin,Cantonese,English",Mandarin,Cantonese,English,,,,
4928,English,English,,,,,,
4929,"English,German",English,German,,,,,
4930,English,English,,,,,,
4931,English,English,,,,,,
4932,"English,Russian,Chinese",English,Russian,Chinese,,,,
4933,"English,Russian",English,Russian,,,,,
4934,English,English,,,,,,
4935,English,English,,,,,,
4936,English,English,,,,,,
4937,English,English,,,,,,
4938,English,English,,,,,,
4939,"English,Vietnamese",English,Vietnamese,,,,,
4940,English,English,,,,,,
4941,English,English,,,,,,
4942,"English,German,Spanish",English,German,Spanish,,,,
4943,"English,Mandarin,Swahili,Greek,Russian",English,Mandarin,Swahili,Greek,Russian,,
4944,"Hindi,English",Hindi,English,,,,,
4945,English,English,,,,,,
4946,English,English,,,,,,
4947,"English,Hebrew",English,Hebrew,,,,,
4948,"English,Mandarin",English,Mandarin,,,,,
4949,English,English,,,,,,
4950,"English,Vietnamese",English,Vietnamese,,,,,
4951,English,English,,,,,,
4952,English,English,,,,,,
4953,"English,Arabic,German,Russian,Czech",English,Arabic,German,Russian,Czech,,
4954,English,English,,,,,,
4955,"English,Russian",English,Russian,,,,,
4956,Hindi,Hindi,,,,,,
4957,Spanish,Spanish,,,,,,
4958,"English,Hindi",English,Hindi,,,,,
4959,"English,Spanish",English,Spanish,,,,,
4960,English,English,,,,,,
4961,English,English,,,,,,
4962,"English,Arabic",English,Arabic,,,,,
4963,English,English,,,,,,
4964,English,English,,,,,,
4965,"English,Spanish",English,Spanish,,,,,
4966,English,English,,,,,,
4967,English,English,,,,,,
4968,English,English,,,,,,
4969,English,English,,,,,,
4970,Hindi,Hindi,,,,,,
4971,"English,Mandarin",English,Mandarin,,,,,
4972,"English,American Sign Language",English,American Sign Language,,,,,
4973,"English,French",English,French,,,,,
4974,Italian,Italian,,,,,,
4975,English,English,,,,,,
4976,English,English,,,,,,
4977,"English,Italian",English,Italian,,,,,
4978,"English,German",English,German,,,,,
4979,"English,Tibetan,German",English,Tibetan,German,,,,
4980,English,English,,,,,,
4981,English,English,,,,,,
4982,"English,Scottish Gaelic",English,Scottish Gaelic,,,,,
4983,Tamil,Tamil,,,,,,
4984,Hindi,Hindi,,,,,,
4985,English,English,,,,,,
4986,"Spanish,English,Japanese,Latin",Spanish,English,Japanese,Latin,,,
4987,Mandarin,Mandarin,,,,,,
4988,"English,Spanish",English,Spanish,,,,,
4989,"English,French",English,French,,,,,
4990,"English,German",English,German,,,,,
4991,"English,Spanish",English,Spanish,,,,,
4992,English,English,,,,,,
4993,English,English,,,,,,
4994,English,English,,,,,,
4995,"English,Japanese,French",English,Japanese,French,,,,
4996,"English,French,Chinese,Urdu,Mohawk",English,French,Chinese,Urdu,Mohawk,,
4997,"English,Romanian,Russian,Serbian,Ukrainian",English,Romanian,Russian,Serbian,Ukrainian,,
4998,English,English,,,,,,
4999,Korean,Korean,,,,,,
5000,"English,Vietnamese,Shoshoni",English,Vietnamese,Shoshoni,,,,
5001,Bangla,Bangla,,,,,,
5002,Japanese,Japanese,,,,,,
5003,"English,Russian",English,Russian,,,,,
5004,English,English,,,,,,
5005,English,English,,,,,,
5006,English,English,,,,,,
5007,French,French,,,,,,
5008,"English,Greek,Arabic,Russian,Chinese,Spanish,Japanese",English,Greek,Arabic,Russian,Chinese,Spanish,Japanese
5009,English,English,,,,,,
5010,English,English,,,,,,
5011,Tamil,Tamil,,,,,,
5012,English,English,,,,,,
5013,Hindi,Hindi,,,,,,
5014,English,English,,,,,,
5015,English,English,,,,,,
5016,English,English,,,,,,
5017,English,English,,,,,,
5018,"Japanese,English",Japanese,English,,,,,
5019,English,English,,,,,,
5020,Hindi,Hindi,,,,,,
5021,English,English,,,,,,
5022,"English,Spanish",English,Spanish,,,,,
5023,"English,Spanish",English,Spanish,,,,,
5024,"English,Maya,Spanish,Greek,German",English,Maya,Spanish,Greek,German,,
5025,English,English,,,,,,
5026,English,English,,,,,,
5027,English,English,,,,,,
5028,Italian,Italian,,,,,,
5029,English,English,,,,,,
5030,English,English,,,,,,
5031,English,English,,,,,,
5032,English,English,,,,,,
5033,English,English,,,,,,
5034,French,French,,,,,,
5035,English,English,,,,,,
5036,English,English,,,,,,
5037,English,English,,,,,,
5038,Hindi,Hindi,,,,,,
5039,English,English,,,,,,
5040,English,English,,,,,,
5041,English,English,,,,,,
5042,Tamil,Tamil,,,,,,
5043,English,English,,,,,,
5044,"English,French",English,French,,,,,
5045,English,English,,,,,,
5046,"English,Ukrainian,German,French",English,Ukrainian,German,French,,,
5047,English,English,,,,,,
5048,"English,Italian",English,Italian,,,,,
5049,"English,French",English,French,,,,,
5050,"English,French",English,French,,,,,
5051,English,English,,,,,,
5052,English,English,,,,,,
5053,"English,German",English,German,,,,,
5054,English,English,,,,,,
5055,English,English,,,,,,
5056,English,English,,,,,,
5057,English,English,,,,,,
5058,"English,Arabic",English,Arabic,,,,,
5059,English,English,,,,,,
5060,Hindi,Hindi,,,,,,
5061,English,English,,,,,,
5062,English,English,,,,,,
5063,English,English,,,,,,
5064,English,English,,,,,,
5065,English,English,,,,,,
5066,"English,Spanish",English,Spanish,,,,,
5067,"Spanish,English,Italian",Spanish,English,Italian,,,,
5068,English,English,,,,,,
5069,English,English,,,,,,
5070,English,English,,,,,,
5071,English,English,,,,,,
5072,"Hebrew,Arabic,English",Hebrew,Arabic,English,,,,
5073,"English,Hebrew,French",English,Hebrew,French,,,,
5074,"English,Japanese",English,Japanese,,,,,
5075,English,English,,,,,,
5076,"English,American Sign Language",English,American Sign Language,,,,,
5077,English,English,,,,,,
5078,English,English,,,,,,
5079,English,English,,,,,,
5080,English,English,,,,,,
5081,English,English,,,,,,
5082,English,English,,,,,,
5083,English,English,,,,,,
5084,"French,English",French,English,,,,,
5085,English,English,,,,,,
5086,English,English,,,,,,
5087,English,English,,,,,,
5088,Hindi,Hindi,,,,,,
5089,English,English,,,,,,
5090,English,English,,,,,,
5091,"English,Russian,French",English,Russian,French,,,,
5092,English,English,,,,,,
5093,English,English,,,,,,
5094,Mandarin,Mandarin,,,,,,
5095,Russian,Russian,,,,,,
5096,English,English,,,,,,
5097,English,English,,,,,,
5098,English,English,,,,,,
5099,"English,Hebrew",English,Hebrew,,,,,
5100,English,English,,,,,,
5101,"English,French",English,French,,,,,
5102,"Hindi,Indonesian,Italian",Hindi,Indonesian,Italian,,,,
5103,"English,Romanian,French",English,Romanian,French,,,,
5104,"Hindi,English",Hindi,English,,,,,
5105,English,English,,,,,,
5106,"English,French",English,French,,,,,
5107,English,English,,,,,,
5108,"Japanese,English",Japanese,English,,,,,
5109,"French,English,Arabic",French,English,Arabic,,,,
5110,English,English,,,,,,
5111,English,English,,,,,,
5112,Hindi,Hindi,,,,,,
5113,English,English,,,,,,
5114,"English,Cantonese",English,Cantonese,,,,,
5115,"English,Arabic,Persian",English,Arabic,Persian,,,,
5116,,,,,,,,
5117,English,English,,,,,,
5118,"English,French",English,French,,,,,
5119,English,English,,,,,,
5120,Hindi,Hindi,,,,,,
5121,English,English,,,,,,
5122,"English,Irish",English,Irish,,,,,
5123,English,English,,,,,,
5124,English,English,,,,,,
5125,"English,Spanish,French,Yoruba",English,Spanish,French,Yoruba,,,
5126,English,English,,,,,,
5127,"English,Hindi",English,Hindi,,,,,
5128,"Tamil,Telugu,Hindi,English,Malayalam,Mandarin,French",Tamil,Telugu,Hindi,English,Malayalam,Mandarin,French
5129,English,English,,,,,,
5130,English,English,,,,,,
5131,English,English,,,,,,
5132,English,English,,,,,,
5133,English,English,,,,,,
5134,"Russian,German",Russian,German,,,,,
5135,English,English,,,,,,
5136,English,English,,,,,,
5137,Hindi,Hindi,,,,,,
5138,"English,Korean,French",English,Korean,French,,,,
5139,"English,Russian",English,Russian,,,,,
5140,English,English,,,,,,
5141,English,English,,,,,,
5142,"Hindi,English",Hindi,English,,,,,
5143,"English,American Sign Language",English,American Sign Language,,,,,
5144,English,English,,,,,,
5145,English,English,,,,,,
5146,English,English,,,,,,
5147,English,English,,,,,,
5148,"English,French,Urdu,Arabic",English,French,Urdu,Arabic,,,
5149,"Norwegian,English,French",Norwegian,English,French,,,,
5150,English,English,,,,,,
5151,"Hindi,Tamil,Rajasthani",Hindi,Tamil,Rajasthani,,,,
5152,English,English,,,,,,
5153,English,English,,,,,,
5154,English,English,,,,,,
5155,English,English,,,,,,
5156,"Hebrew,Arabic",Hebrew,Arabic,,,,,
5157,"English,Hungarian,Russian",English,Hungarian,Russian,,,,
5158,English,English,,,,,,
5159,Telugu,Telugu,,,,,,
5160,English,English,,,,,,
5161,"Norwegian,German,Danish,Swedish,English",Norwegian,German,Danish,Swedish,English,,
5162,English,English,,,,,,
5163,English,English,,,,,,
5164,"English,French,German",English,French,German,,,,
5165,English,English,,,,,,
5166,English,English,,,,,,
5167,English,English,,,,,,
5168,English,English,,,,,,
5169,English,English,,,,,,
5170,English,English,,,,,,
5171,"English,Spanish,Latin,Arabic",English,Spanish,Latin,Arabic,,,
5172,English,English,,,,,,
5173,English,English,,,,,,
5174,English,English,,,,,,
5175,English,English,,,,,,
5176,English,English,,,,,,
5177,English,English,,,,,,
5178,English,English,,,,,,
5179,English,English,,,,,,
5180,"English,Chinese",English,Chinese,,,,,
5181,English,English,,,,,,
5182,English,English,,,,,,
