,Language,1st_Language,2nd_Language,3rd_Language,4th_Language,5th_Language,6th_Language,7th_Language
426,English,English,,,,,,
427,Hindi,Hindi,,,,,,
428,"German,English",German,English,,,,,
429,English,English,,,,,,
430,Cantonese,Cantonese,,,,,,
431,English,English,,,,,,
432,"English,Portuguese",English,Portuguese,,,,,
433,"Hindi,Telugu,Tamil",Hindi,Telugu,Tamil,,,,
434,"English,French,Scottish Gaelic,Latin",English,French,Scottish Gaelic,Latin,,,
435,"English,Chinese",English,Chinese,,,,,
436,English,English,,,,,,
437,"English,French,Scottish Gaelic",English,French,Scottish Gaelic,,,,
438,English,English,,,,,,
439,"Hindi,English",Hindi,English,,,,,
440,"English,Spanish,Portuguese",English,Spanish,Portuguese,,,,
441,English,English,,,,,,
442,English,English,,,,,,
443,English,English,,,,,,
444,English,English,,,,,,
445,English,English,,,,,,
446,English,English,,,,,,
447,English,English,,,,,,
448,English,English,,,,,,
449,"English,Mandarin",English,Mandarin,,,,,
450,English,English,,,,,,
451,English,English,,,,,,
452,"English,French,Italian,Russian,Spanish",English,French,Italian,Russian,Spanish,,
453,English,English,,,,,,
454,"English,Spanish",English,Spanish,,,,,
455,Thai,Thai,,,,,,
456,English,English,,,,,,
457,English,English,,,,,,
458,Hindi,Hindi,,,,,,
459,"Akan,English",Akan,English,,,,,
460,"English,French,Italian",English,French,Italian,,,,
461,English,English,,,,,,
462,"English,Korean,German",English,Korean,German,,,,
463,English,English,,,,,,
464,English,English,,,,,,
465,English,English,,,,,,
466,"English,French,Latin",English,French,Latin,,,,
467,English,English,,,,,,
468,Hindi,Hindi,,,,,,
469,"English,Chinese,Italian",English,Chinese,Italian,,,,
470,"English,Spanish",English,Spanish,,,,,
471,"English,Russian",English,Russian,,,,,
472,"English,Russian,Romanian,Slovenian",English,Russian,Romanian,Slovenian,,,
473,"English,Japanese,Spanish",English,Japanese,Spanish,,,,
474,English,English,,,,,,
475,"Spanish,Catalan",Spanish,Catalan,,,,,
476,English,English,,,,,,
477,"Hindi,English,Spanish",Hindi,English,Spanish,,,,
478,English,English,,,,,,
479,Hindi,Hindi,,,,,,
480,"English,German,Hebrew",English,German,Hebrew,,,,
481,"Spanish,English",Spanish,English,,,,,
482,English,English,,,,,,
483,Hindi,Hindi,,,,,,
484,English,English,,,,,,
485,English,English,,,,,,
486,"Cantonese,English,Mandarin",Cantonese,English,Mandarin,,,,
487,"English,Mandarin,Spanish,Russian",English,Mandarin,Spanish,Russian,,,
488,"Norwegian,German,English,Saami",Norwegian,German,English,Saami,,,
489,English,English,,,,,,
490,English,English,,,,,,
491,"Cantonese,English",Cantonese,English,,,,,
492,Hindi,Hindi,,,,,,
493,English,English,,,,,,
494,English,English,,,,,,
495,English,English,,,,,,
496,English,English,,,,,,
497,"English,French",English,French,,,,,
498,English,English,,,,,,
499,English,English,,,,,,
500,"English,Finnish,French,Vietnamese",English,Finnish,French,Vietnamese,,,
501,"English,Italian",English,Italian,,,,,
502,English,English,,,,,,
503,Korean,Korean,,,,,,
504,English,English,,,,,,
505,"Japanese,English,French",Japanese,English,French,,,,
506,English,English,,,,,,
507,English,English,,,,,,
508,English,English,,,,,,
509,English,English,,,,,,
510,Hindi,Hindi,,,,,,
511,,,,,,,,
512,Indonesian,Indonesian,,,,,,
513,English,English,,,,,,
514,"English,German,French,Chinese",English,German,French,Chinese,,,
515,Hindi,Hindi,,,,,,
516,English,English,,,,,,
517,English,English,,,,,,
518,English,English,,,,,,
519,English,English,,,,,,
520,English,English,,,,,,
521,English,English,,,,,,
522,"German,English",German,English,,,,,
523,"English,Italian",English,Italian,,,,,
524,English,English,,,,,,
525,Turkish,Turkish,,,,,,
526,English,English,,,,,,
527,"English,Ukrainian",English,Ukrainian,,,,,
528,Hindi,Hindi,,,,,,
529,"English,French",English,French,,,,,
530,English,English,,,,,,
531,English,English,,,,,,
532,"Arabic,English",Arabic,English,,,,,
533,Japanese,Japanese,,,,,,
534,"English,German",English,German,,,,,
535,English,English,,,,,,
536,"English,Spanish",English,Spanish,,,,,
537,English,English,,,,,,
538,English,English,,,,,,
539,"French,Italian,English",French,Italian,English,,,,
540,Hindi,Hindi,,,,,,
541,English,English,,,,,,
542,English,English,,,,,,
543,English,English,,,,,,
544,English,English,,,,,,
545,"English,Dutch",English,Dutch,,,,,
546,Arabic,Arabic,,,,,,
547,,,,,,,,
548,Spanish,Spanish,,,,,,
549,Hindi,Hindi,,,,,,
550,English,English,,,,,,
551,"English,Spanish,Russian",English,Spanish,Russian,,,,
552,"English,Spanish",English,Spanish,,,,,
553,English,English,,,,,,
554,Hindi,Hindi,,,,,,
555,French,French,,,,,,
556,"English,Aboriginal,French,Portuguese",English,Aboriginal,French,Portuguese,,,
557,English,English,,,,,,
558,English,English,,,,,,
559,"English,Mandarin,German",English,Mandarin,German,,,,
560,English,English,,,,,,
561,English,English,,,,,,
562,"English,French,Albanian,Spanish,Hungarian",English,French,Albanian,Spanish,Hungarian,,
563,English,English,,,,,,
564,English,English,,,,,,
565,English,English,,,,,,
566,English,English,,,,,,
567,"English,Ukrainian,Russian",English,Ukrainian,Russian,,,,
568,"English,Dutch",English,Dutch,,,,,
569,"English,Spanish",English,Spanish,,,,,
570,English,English,,,,,,
571,"English,Portuguese",English,Portuguese,,,,,
572,English,English,,,,,,
573,English,English,,,,,,
574,English,English,,,,,,
575,"English,Italian",English,Italian,,,,,
576,"English,French",English,French,,,,,
577,English,English,,,,,,
578,"English,French,German,Serbian",English,French,German,Serbian,,,
579,English,English,,,,,,
580,English,English,,,,,,
581,"English,Hindi",English,Hindi,,,,,
582,"English,Spanish",English,Spanish,,,,,
583,"English,Japanese,Chinese",English,Japanese,Chinese,,,,
584,English,English,,,,,,
585,English,English,,,,,,
586,"English,Spanish,French,German,Hebrew",English,Spanish,French,German,Hebrew,,
587,English,English,,,,,,
588,English,English,,,,,,
589,English,English,,,,,,
590,English,English,,,,,,
591,"English,Pashto",English,Pashto,,,,,
592,English,English,,,,,,
593,English,English,,,,,,
594,English,English,,,,,,
595,None,None,,,,,,
596,English,English,,,,,,
597,"English,Arabic",English,Arabic,,,,,
598,"Japanese,English",Japanese,English,,,,,
599,"Hindi,English",Hindi,English,,,,,
600,English,English,,,,,,
601,English,English,,,,,,
602,Spanish,Spanish,,,,,,
603,"English,Russian",English,Russian,,,,,
604,"Tamil,Hindi",Tamil,Hindi,,,,,
605,English,English,,,,,,
606,Persian,Persian,,,,,,
607,"Spanish,English,Basque,Catalan",Spanish,English,Basque,Catalan,,,
608,"English,Spanish",English,Spanish,,,,,
609,English,English,,,,,,
610,"English,Italian",English,Italian,,,,,
